period,state,stateDescription,estimated-losses,facility-direct,full-service-providers,total-elect-indust,estimated-losses-units,facility-direct-units,full-service-providers-units,total-elect-indust-units
2018,AL,Alabama,4656454,17976,90262480,90280456,megawatthours,megawatthours,megawatthours,megawatthours
2018,AK,Alaska,308046,,5972467,5972467,megawatthours,megawatthours,megawatthours,megawatthours
2018,WY,Wyoming,869841,,16864678,16864678,megawatthours,megawatthours,megawatthours,megawatthours
2018,WV,West Virginia,1735424,,33646813,33646813,megawatthours,megawatthours,megawatthours,megawatthours
2018,WI,Wisconsin,3659927,,70959549,70959549,megawatthours,megawatthours,megawatthours,megawatthours
2018,VT,Vermont,285273,2474,5528474,5530948,megawatthours,megawatthours,megawatthours,megawatthours
2018,VA,Virginia,6094743,5661,117384211,118166348,megawatthours,megawatthours,megawatthours,megawatthours
2018,UT,Utah,1611410,4657,31237751,31242408,megawatthours,megawatthours,megawatthours,megawatthours
2018,US,United States,199047717,14163721,3260944103,3859185261,megawatthours,megawatthours,megawatthours,megawatthours
2018,TX,Texas,21890517,7618499,416800129,424418628,megawatthours,megawatthours,megawatthours,megawatthours
2018,NE,Nebraska,1595786,2631,30936861,30939492,megawatthours,megawatthours,megawatthours,megawatthours
2018,ND,North Dakota,1066085,,20669506,20669506,megawatthours,megawatthours,megawatthours,megawatthours
2018,NC,North Carolina,7132540,5032,138282372,138287404,megawatthours,megawatthours,megawatthours,megawatthours
2018,MT,Montana,765353,,11802663,14838845,megawatthours,megawatthours,megawatthours,megawatthours
2018,MS,Mississippi,2599001,6128,50383940,50390068,megawatthours,megawatthours,megawatthours,megawatthours
2018,MO,Missouri,4232247,,82055835,82055835,megawatthours,megawatthours,megawatthours,megawatthours
2018,MN,Minnesota,3543817,761551,67946831,68708382,megawatthours,megawatthours,megawatthours,megawatthours
2018,MI,Michigan,5408922,430721,95568004,104869496,megawatthours,megawatthours,megawatthours,megawatthours
2018,ME,Maine,637233,102613,6460259,12354819,megawatthours,megawatthours,megawatthours,megawatthours
2018,MD,Maryland,3202274,82115,30224830,62086455,megawatthours,megawatthours,megawatthours,megawatthours
2018,MA,Massachusetts,2748317,471960,20997459,53285029,megawatthours,megawatthours,megawatthours,megawatthours
2017,ND,North Dakota,1095608,,20140426,20140426,megawatthours,megawatthours,megawatthours,megawatthours
2017,NE,Nebraska,1651482,2787,30356220,30359007,megawatthours,megawatthours,megawatthours,megawatthours
2017,MT,Montana,800182,,11929206,14709656,megawatthours,megawatthours,megawatthours,megawatthours
2017,MS,Mississippi,2601811,5843,47822944,47828787,megawatthours,megawatthours,megawatthours,megawatthours
2017,MO,Missouri,4159381,,76461419,76461419,megawatthours,megawatthours,megawatthours,megawatthours
2017,MN,Minnesota,3652995,970560,66182020,67152580,megawatthours,megawatthours,megawatthours,megawatthours
2017,MI,Michigan,5543151,403159,92588972,101899093,megawatthours,megawatthours,megawatthours,megawatthours
2017,ME,Maine,610006,1060,6026431,11213674,megawatthours,megawatthours,megawatthours,megawatthours
2017,MD,Maryland,3226038,92454,28089949,59303885,megawatthours,megawatthours,megawatthours,megawatthours
2017,MA,Massachusetts,2856642,478193,21419339,52513321,megawatthours,megawatthours,megawatthours,megawatthours
2017,LA,Louisiana,4961460,,91205935,91205935,megawatthours,megawatthours,megawatthours,megawatthours
2017,KY,Kentucky,3951197,131349,72503038,72634387,megawatthours,megawatthours,megawatthours,megawatthours
2017,KS,Kansas,2191592,,40287787,40287787,megawatthours,megawatthours,megawatthours,megawatthours
2017,IN,Indiana,5383593,25656,98940312,98965968,megawatthours,megawatthours,megawatthours,megawatthours
2017,IL,Illinois,7463264,455973,48928248,137196310,megawatthours,megawatthours,megawatthours,megawatthours
2017,ID,Idaho,1294345,,23793790,23793790,megawatthours,megawatthours,megawatthours,megawatthours
2017,IA,Iowa,2661280,,48921997,48921997,megawatthours,megawatthours,megawatthours,megawatthours
2017,HI,Hawaii,507222,21421,9302780,9324201,megawatthours,megawatthours,megawatthours,megawatthours
2017,GA,Georgia,7259830,25218,133431402,133456620,megawatthours,megawatthours,megawatthours,megawatthours
2017,FL,Florida,12683241,2101,233152448,233154549,megawatthours,megawatthours,megawatthours,megawatthours
2017,DE,Delaware,605379,1198,6882217,11128603,megawatthours,megawatthours,megawatthours,megawatthours
2017,DC,District of Columbia,593838,,2896794,10916446,megawatthours,megawatthours,megawatthours,megawatthours
2017,CT,Connecticut,1530529,115685,12402641,28135530,megawatthours,megawatthours,megawatthours,megawatthours
2017,CO,Colorado,2982676,166595,54663591,54830186,megawatthours,megawatthours,megawatthours,megawatthours
2017,CA,California,13994972,1936875,219016574,257267937,megawatthours,megawatthours,megawatthours,megawatthours
2017,AZ,Arizona,4223835,72752,77573510,77646262,megawatthours,megawatthours,megawatthours,megawatthours
2017,AR,Arkansas,2507003,14628,46071323,46085951,megawatthours,megawatthours,megawatthours,megawatthours
2017,AL,Alabama,4691415,876,86240854,86241730,megawatthours,megawatthours,megawatthours,megawatthours
2017,AK,Alaska,336498,,6185799,6185799,megawatthours,megawatthours,megawatthours,megawatthours
